topic	tweet_id	tweet_url	tweet_text	class_label
politics	1192517071348699136	https://twitter.com/user/status/1192517071348699136	📅 Mañana, viernes, no puedes perderte el gran acto de cierre de campaña en Madrid.   ⏰ A las 19.00 h en el Pabellón 1 de IFEMA (Madrid).  Con Kiko Veneno y O'Funk'illo en concierto y la intervención de @Pablo_Iglesias_, @AdaColau, @Irene_Montero_, @agarzon...   ¡Te esperamos! https://t.co/IxHyDWdB0S	0
politics	1220987059701190656	https://twitter.com/user/status/1220987059701190656	"🔴 DIRECTO | Reyes Maroto: ""Si nos centramos en las sinergias la legislatura, al menos en la parte del gobierno, va a funcionar muy bien. Además, los ministros y ministras nos llevamos muy bien"" https://t.co/K3k4v7vslz"	0
politics	1226786513226280961	https://twitter.com/user/status/1226786513226280961	"@JonInarritu @EHBilduCongreso 🔴🎙️ @JonInarritu, diputado @EHBilduCongreso: ""Que los partidos catalanes nacionalistas encuentren un Mínimo Común Denominador es difícil. Sobre todo, si se intentan sembrar la discordia y si la represión provoca un adelanto electoral."""	0
politics	1217566329823252481	https://twitter.com/user/status/1217566329823252481	@tve_tve vuelve a quedar en evidencia. Desplaza al minuto 18 la denuncia del #CGPJ ante las críticas  de Iglesias y habla de “diferencias”. Exigimos al responsable de edición del telediario explicaciones y a Sánchez que deje de utilizar @rtve a su antojo  @Enric_Hernandez	1
politics	1172059020095610881	https://twitter.com/user/status/1172059020095610881	El nuevo curso escolar en #Andalucía comienza con... ??  ✅El mayor presupuesto de su historia ✅750 nuevos profesores, más que nunca ✅3.000 nuevos funcionarios que antes eran interinos  Son hechos: la oposición miente cuando dice que estamos desmantelando la educación pública. https://t.co/c8fANaDaRA	1
politics	1226461787635245056	https://twitter.com/user/status/1226461787635245056	"Pernando Barrena: ""En 2021 pueden abrirse escenarios realmente muy complicados"" @ehbildu https://t.co/JP3qhcguNB"	0
politics	1218228024249896966	https://twitter.com/user/status/1218228024249896966	El #PINParental no solo no me parece polémico sino de auténtico sentido común. Impecable aquí @ivanedlm explicando el concepto en un minuto  https://t.co/e2J2igFVY4	0
politics	1219218559534059523	https://twitter.com/user/status/1219218559534059523	🔴DIRECTO| @Santi_ABASCAL, presidente de @vox_es,  anuncia la iniciativa parlamentaria para ilegalizar a partidos que pongan en peligro la Constitución y la unidad de España  #ESP20E  ▶ https://t.co/Ahwoln6S4m https://t.co/dT873WCM25	0
politics	1217829210808557569	https://twitter.com/user/status/1217829210808557569	Muy bien explicado lo del “pin rojo”, por @MonederoJC Algunos llevamos años usándolo como símbolo antifascista y seguiremos haciéndolo. 🔻✊ https://t.co/GvhCoNZeKg	0
politics	1226480356955693056	https://twitter.com/user/status/1226480356955693056	El PP se equivoca total y completamente excluyendo a VOX en las mesas del Congreso. El PP hizo lo mismo en la Asamblea de Madrid pactando con PSOE, Cs, Más Madrid y Podemos contra VOX. Que el PP no eche la culpa al PSOE porque en la C. de Madrid también prefirió a la izquierda. https://t.co/3gLTOQoLsb	1
politics	1259920819834191872	https://twitter.com/user/status/1259920819834191872	Si algo define a @CruzRojaEsp es que siempre está ahí cuando más se le necesita.    #CRUZROJARESPONDE ha movilizado a más de 40.000 voluntarios durante el Covid19. Hoy hemos ido a su sede a darles las gracias junto a SM La Reina, a quien agradezco su preocupación por Madrid. https://t.co/TUNwW2VSo6	1
politics	1166286413777780736	https://twitter.com/user/status/1166286413777780736	El funeral por el #gudari José Moreno se celebrará mañana miércoles, a las 19:00 horas, en la iglesia Santa María de Portugalete. https://t.co/tO9xgPRuQZ	0
politics	1226086367710580737	https://twitter.com/user/status/1226086367710580737	Hoy @populares se  ha unido a PSOE, PODEMOS y ERC. Este pacto parece hecho en la Cárcel de Lledoners. Es una conjura contra la Sanidad, ya que el PP ha pactado con aquellos que quieren desmembrarla, y que quieren destrozar el MIR. @vox_es es la única y verdadera alternativa.	1
politics	1174075842445623297	https://twitter.com/user/status/1174075842445623297	? A partir de las 22:35h ⏰ @adelgadoRne entrevistará en @24horas_rne a la portavoz de @JuntsXCat en el Congreso @LauraBorras   #EleccionesNoviembre2019   Escúchala aquí ??https://t.co/CXPt9w3OjR https://t.co/pFOOD2wQvd	0
